ARTICLE NAME,DATE PUBLISHED,Date,POSITIVE, NEGATIVE,SENTIMENTAL ANALYSIS NEUTRAL,Overall Sentiment ,Percentage,Amount,,Open,High,Low,Close
Apple to expand repair options with support for used genuine parts,04-11-2024,2024-04-11 00:00:00-04:00,0.1,0.04,0.86,Positive,0.86%,1.510009766,,168.3399963,175.4600067,168.1600037,175.0399933
Apple Vision Pro unlocks new opportunities for health app developers,03-11-2024,2024-03-11 00:00:00-04:00,0.2,0.01,0.79,Positive,0.28%,0.479995728,,172.9400024,174.3800049,172.0500031,172.75
Apple unveils 2024 Black Unity Collection supporting grantees that inspire resilience and creativity,17-01-2024,2024-01-17 00:00:00-05:00,0.14,0.01,0.85,Positive,3.26%,5.942428589,,181.0389978,182.6968707,180.0702327,182.4471893
Apple previews new entertainment experiences launching with Apple Vision Pro,16-01-2024,2024-01-16 00:00:00-05:00,0.12,0.01,0.87,Positive,-0.52%,-0.948791504,,181.927853,184.0251676,180.6994096,183.3959808
"Apple unveils the new MacBook Pro featuring the M3 family of chips, making the world’s best pro laptop even better",30-10-2023,2023-10-30 00:00:00-04:00,0.12,0.01,0.86,Positive,0.28%,0.478775024,,168.5824957,170.7269244,168.4328749,169.8491974
Apple Watch double tap gesture now available with watchOS 10.1,25-10-2023,2023-10-25 00:00:00-04:00,0.07,0.02,0.91,Positive,-2.46%,-4.199111938,,171.4351149,172.6120533,170.2082876,170.657135
Apple unveils Apple Watch Ultra 2,09-12-2023,2023-09-12 00:00:00-04:00,0.11,0.02,0.88,Positive,-1.19%,-2.084594727,,179.0254037,179.6637465,174.3674936,175.8436584
Apple Card’s Savings account by Goldman Sachs reaches over $10 billion in deposits,08-02-2023,2023-08-02 00:00:00-04:00,0.12,0.02,0.86,Positive,-0.73%,-1.404464722,,194.2728097,194.4122584,191.0953702,191.8224945
"Pixar, Adobe, Apple, Autodesk, and NVIDIA form Alliance for OpenUSD to drive open standards for 3D content",08-01-2023,2023-08-01 00:00:00-04:00,0.13,0,0.86,Positive,-1.55%,-3.018081665,,195.4680876,195.9561505,194.5118572,194.8405609
iOS 17 makes iPhone more personal and intuitive,06-05-2023,2023-06-05 00:00:00-04:00,0.15,0.02,0.83,Positive,-0.21%,-0.368530273,,181.9116171,184.2224833,177.3396606,178.8736115
Apple introduces M2 Ultra,06-05-2023,2023-06-05 00:00:00-04:00,0.1,0.01,0.89,Positive,-0.21%,-0.368530273,,181.9116171,184.2224833,177.3396606,178.8736115
Apple and Major League Baseball announce July “Friday Night Baseball” schedule on Apple TV+,06-01-2023,2023-06-01 00:00:00-04:00,0.07,0.01,0.92,Positive,0.48%,0.856613159,,177.0010088,179.4114878,176.2340334,179.3816071
Apple Fitness+ celebrates Pride with a new Artist Spotlight featuring Madonna,25-06-2023,2023-05-25 00:00:00-04:00,0.12,0.01,0.88,Positive,1.41%,2.430389404,,171.7318194,173.2159487,171.0146504,172.3095398
Final Cut Pro and Logic Pro for iPad are here,23-05-2023,2023-05-23 00:00:00-04:00,0.1,0.04,0.86,Positive,0.16%,0.278884888,,172.4490094,172.6980261,170.6062802,170.8851776
Apple launches Apple Store online in Vietnam,17-05-2023,2023-05-17 00:00:00-04:00,0.17,0.01,0.83,Positive,1.37%,2.350708008,,171.034586,172.2497732,169.7496517,172.0107269
Apple brings Final Cut Pro and Logic Pro to iPad,05-09-2023,2023-05-09 00:00:00-04:00,0.1,0.03,0.87,Positive,1.04%,1.780487061,,172.1312198,172.6186085,170.6889214,170.858017
"Apple MixC Shenzhen opens Friday, April 28, in China",26-04-2023,2023-04-26 00:00:00-04:00,0.16,0,0.04,Positive,2.84%,4.625305176,,162.194253,164.4024675,161.9356389,162.8905334
Apple Saket now open in New Delhi,20-04-2023,2023-04-20 00:00:00-04:00,0.08,0,0.92,Positive,-0.98%,-1.621337891,,165.2081886,166.978737,164.6810037,165.765213
Apple BKC opens April 18 and Apple Saket opens April 20,04-10-2023,2023-04-10 00:00:00-04:00,0.09,0.01,0.9,Positive,-0.76%,-1.223464966,,160.5629616,161.1697235,159.2300798,161.1697235
Apple invites Ted Lasso fans to “believe” with new Today at Apple session,03-08-2023,2023-03-08 00:00:00-05:00,0.14,0.01,0.85,Positive,-1.49%,-2.26789856,,151.9986859,152.6551854,151.0238932,152.0583649
"With Apple Watch, researchers explore new frontiers in heart health",21-02-2023,2023-02-21 00:00:00-05:00,0.09,0.04,0.87,Positive,0.29%,0.427719116,,149.4025348,150.4967006,147.6220452,147.6916656
MLS Season Pass is now available worldwide on the Apple TV app,02-01-2023,2023-02-01 00:00:00-05:00,0.14,0,0.86,Positive,3.71%,5.353225708,,142.987291,145.6092703,140.3553855,144.4373169
Emergency SOS via satellite on iPhone 14 and iPhone 14 Pro lineups made possible by $450 million Apple investment in US infrastructure,11-10-2022,2022-11-10 00:00:00-05:00,0.08,0.07,0.85,Positive,1.93%,2.810714722,,140.2759321,145.8674927,138.5478035,145.8674927
Seven App Store creators share their tips for forging a career in coding,11-02-2022,2022-11-02 00:00:00-04:00,0.15,0.01,0.84,Positive,-4.24%,-6.097854614,,147.6882916,150.8810173,143.7717537,143.8014984
Apple Learning Coach now open to more teachers across the US,26-10-2022,2022-10-26 00:00:00-04:00,0.15,0.01,0.84,Positive,-3.05%,-4.511489868,,149.6812935,150.7025676,146.7860141,148.0849304
iPadOS 16 is available today,24-10-2022,2022-10-24 00:00:00-04:00,0.12,0.01,0.86,Positive,1.93%,2.865524292,,145.9432308,148.9574738,144.7633083,148.184082
